City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
bredasdorp,ZA,-34.53,20.04,53.6,62,0,1.5
gorey,IE,52.67,-6.29,60.00800000000001,87,24,0.45
zhaotong,CN,27.32,103.72,68.01800000000009,84,100,1.48
marsh harbour,BS,26.54,-77.06,82.22000000000006,77,60,6.73
albany,US,42.6,-73.97,62.00600000000003,90,99,3.44
tuktoyaktuk,CA,69.45,-133.04,41.19800000000002,77,0,5.89
new norfolk,AU,-42.78,147.06,44.00600000000003,82,6,0.29
rikitea,PF,-23.12,-134.97,73.31000000000009,82,100,1.17
iskateley,RU,67.68,53.15,60.656000000000034,58,84,5.53
augusto correa,BR,-1.02,-46.63,72.1760000000001,97,14,0.98
basoko,CD,1.24,23.62,74.93000000000004,86,98,1.76
marawi,PH,8.0,124.29,77.0,87,99,3.13
port alfred,ZA,-33.59,26.89,66.65,26,0,2.92
los llanos de aridane,ES,28.66,-17.92,69.80000000000001,83,20,3.1
chuy,UY,-33.7,-53.46,46.291999999999994,94,0,1.78
anadyr,RU,64.75,177.48,57.2,82,82,3.0
vaini,TO,-21.2,-175.2,75.2,88,75,2.6
urusha,RU,54.05,122.9,88.39400000000008,37,80,3.68
georgetown,MY,5.41,100.34,89.6,74,40,2.6
saint anthony,US,45.02,-93.22,73.4,78,20,0.68
saldanha,ZA,-33.01,17.94,44.6,81,0,9.66
kodiak,US,57.79,-152.41,57.2,87,90,3.1
zambezi,ZM,-13.54,23.1,61.43000000000004,42,0,6.46
ushuaia,AR,-54.8,-68.3,24.8,85,0,2.1
lerwick,GB,60.15,-1.15,53.6,87,40,7.7
vilyuysk,RU,63.76,121.62,58.964000000000034,96,100,0.45
kapaa,US,22.08,-159.32,78.80000000000001,83,40,4.6
kadhan,PK,24.48,68.99,104.03600000000007,34,0,3.29
povenets,RU,62.85,34.83,60.314000000000036,62,98,5.23
tuatapere,NZ,-46.13,167.68,39.00200000000008,83,29,1.34
belmonte,BR,-15.86,-38.88,73.4,73,75,3.6
dikson,RU,73.51,80.55,42.11600000000001,91,62,4.22
lagoa,PT,39.05,-27.98,69.35,74,100,5.68
bathsheba,BB,13.22,-59.52,82.4,74,40,6.2
khatanga,RU,71.97,102.5,44.06000000000008,85,100,6.97
orocue,CO,4.79,-71.34,72.59000000000003,94,95,1.66
saint-philippe,RE,-21.36,55.77,69.00800000000001,93,95,7.7
atuona,PF,-9.8,-139.03,79.53800000000004,75,3,7.19
lucapa,AO,-8.42,20.74,70.592,36,0,4.82
pevek,RU,69.7,170.31,41.108000000000004,97,90,3.73
cabedelo,BR,-6.98,-34.83,72.75200000000008,87,49,6.02
xingyi,CN,24.19,102.82,74.46200000000006,77,100,4.91
kabo,CF,7.7,18.63,76.22600000000008,85,100,1.09
bambous virieux,MU,-20.34,57.76,75.2,73,75,6.2
saskylakh,RU,71.92,114.08,50.486000000000075,83,100,6.28
kimbe,PG,-5.55,150.14,79.53800000000004,82,100,1.13
chicago,US,41.85,-87.65,73.00400000000005,78,40,1.5
bereznik,RU,62.86,42.71,67.892,81,64,0.89
jackson,US,42.42,-122.83,75.2,47,1,1.5
lazaro cardenas,MX,17.96,-102.2,78.83600000000007,87,63,1.35
faanui,PF,-16.48,-151.75,77.9,76,2,3.39
huarmey,PE,-10.07,-78.15,59.25200000000008,84,50,1.9
port elizabeth,ZA,-33.92,25.57,51.8,71,0,1.5
barrow,US,71.29,-156.79,35.6,74,90,6.7
amapa,BR,1.0,-52.0,69.06200000000007,99,22,0.18
cacoal,BR,-11.44,-61.45,66.41600000000001,55,0,0.84
pisco,PE,-13.7,-76.22,60.8,82,90,1.0
harrisonville,US,38.65,-94.35,73.99400000000009,88,1,2.86
bluff,NZ,-46.6,168.33,39.00200000000008,83,35,1.34
waipawa,NZ,-41.41,175.52,50.0,77,100,1.79
chernyshevskiy,RU,63.01,112.47,63.320000000000064,53,100,3.03
hermanus,ZA,-34.42,19.23,48.992,82,0,0.89
east london,ZA,-33.02,27.91,59.0,26,0,1.5
souillac,MU,-20.52,57.52,75.2,73,75,6.2
bengkulu,ID,-3.8,102.27,81.80600000000004,82,98,4.02
shimoda,JP,34.67,138.95,68.0,100,75,5.1
maarianhamina,AX,60.1,19.93,68.0,77,0,3.1
yar-sale,RU,66.83,70.83,63.69800000000002,49,99,2.98
ostersund,SE,63.18,14.64,62.6,67,100,5.7
vila franca do campo,PT,37.72,-25.43,66.2,88,75,4.1
qaanaaq,GL,77.48,-69.36,43.44800000000002,63,50,4.02
jamestown,US,42.1,-79.24,69.99800000000002,94,75,4.1
fortuna,US,40.6,-124.16,57.00200000000008,93,90,2.1
itarema,BR,-2.92,-39.92,75.68600000000006,76,2,6.48
sioux lookout,CA,50.1,-91.92,60.8,77,40,1.5
karratha,AU,-20.74,116.85,76.58600000000007,43,0,4.18
narsaq,GL,60.92,-46.05,51.8,32,20,2.6
pueblo bello,CO,8.2,-76.53,74.084,95,100,0.71
taywarah,AF,33.35,64.42,75.29000000000002,21,41,1.25
manggar,ID,-2.88,108.27,83.91200000000006,76,4,4.37
norman wells,CA,65.28,-126.83,59.0,93,75,2.6
kenai,US,60.55,-151.26,57.2,87,20,5.1
rantepao,ID,-2.97,119.9,79.05200000000008,63,19,2.08
khasan,RU,42.43,130.64,70.50200000000008,83,22,4.87
alofi,NU,-19.06,-169.92,73.4,88,60,2.6
aripuana,BR,-9.17,-60.63,68.59400000000008,62,0,0.69
klaksvik,FO,62.23,-6.59,50.0,87,23,8.7
kulhudhuffushi,MV,6.62,73.07,84.57800000000006,75,100,5.39
ola,RU,59.58,151.28,54.42800000000007,86,92,4.34
jertih,MY,5.73,102.49,91.4,55,40,4.1
westport,US,41.14,-73.36,69.80000000000001,73,90,2.6
port hardy,CA,50.7,-127.42,54.17600000000009,84,93,2.73
port lincoln,AU,-34.73,135.87,60.044000000000075,59,99,3.31
saint george,US,37.1,-113.58,84.2,18,1,3.1
katherine,AU,-14.47,132.27,89.6,11,0,2.1
ordzhonikidze,KZ,52.44,61.74,87.35,27,0,4.81
vao,NC,-22.67,167.48,69.51200000000006,67,0,8.23
clyde river,CA,70.47,-68.59,44.6,81,1,7.7
codrington,AU,-38.27,141.97,48.110000000000085,86,0,3.71
sao filipe,CV,14.9,-24.5,74.33600000000007,80,63,2.46
saysain,PH,14.56,120.39,93.99199999999999,66,90,3.13
sao miguel,BR,-5.47,-35.37,69.80000000000001,100,75,2.1
cherskiy,RU,68.75,161.3,54.248000000000026,54,0,7.44
nurota,UZ,40.56,65.69,100.4,9,0,5.1
barao de melgaco,BR,-16.19,-55.97,68.0,56,0,1.03
serebryanyy bor,RU,56.8,124.8,78.40400000000005,56,86,1.62
gayeri,BF,12.65,0.49,78.40400000000005,76,79,4.38
arraial do cabo,BR,-22.97,-42.03,68.07200000000003,76,0,8.45
labrea,BR,-7.26,-64.8,70.7,70,85,0.22
port-cartier,CA,50.03,-66.87,59.0,67,75,2.1
marica,BR,-22.92,-42.82,59.0,93,20,2.6
airai,TL,-8.93,125.41,67.29800000000003,85,76,1.15
makakilo city,US,21.35,-158.09,80.6,74,1,1.5
salalah,OM,17.02,54.09,86.0,79,75,5.7
walvis bay,NA,-22.96,14.51,71.69000000000003,23,0,8.34
tamandare,BR,-8.76,-35.1,72.15800000000002,85,5,3.66
butaritari,KI,3.07,172.79,83.01200000000006,77,48,5.62
avarua,CK,-21.21,-159.78,69.80000000000001,73,28,3.1
nemuro,JP,43.32,145.57,75.2,60,20,2.6
ahipara,NZ,-35.17,173.17,58.71200000000006,90,100,3.55
hella,NO,67.2,14.43,57.2,87,75,2.1
arlit,NE,18.74,7.39,91.34600000000006,37,40,1.57
arauca,CO,7.08,-70.76,71.29400000000007,96,0,1.04
nikolskoye,RU,59.7,30.79,66.99199999999999,55,0,5.0
koumac,NC,-20.57,164.28,66.90200000000007,60,0,3.18
bogorodskoye,RU,56.55,37.88,59.233999999999995,87,99,3.32
alamor,EC,-4.02,-80.02,55.346000000000046,97,82,0.94
xining,CN,36.62,101.77,78.42200000000004,33,100,3.43
emet,TR,39.34,29.26,71.87000000000006,42,0,3.77
cayenne,GF,4.93,-52.33,73.4,100,81,3.39
innisfail,AU,-17.53,146.03,64.07600000000009,76,0,2.17
puerto ayora,EC,-0.74,-90.35,66.00200000000008,93,31,0.45
doha,QA,25.29,51.53,109.4,53,0,3.6
mahebourg,MU,-20.41,57.7,75.2,73,75,6.2
hays,US,30.05,-98.03,82.00400000000005,72,33,4.27
tasiilaq,GL,65.61,-37.64,42.8,81,41,3.6
upernavik,GL,72.79,-56.15,44.582000000000015,66,95,1.94
balkanabat,TM,39.51,54.37,96.04400000000008,30,0,5.52
stuttgart,DE,48.78,9.18,60.998000000000026,87,75,2.1
suntar,RU,62.14,117.63,69.85400000000006,52,98,2.15
mar del plata,AR,-38.0,-57.56,37.4,93,11,2.6
camacha,PT,33.08,-16.33,68.0,82,75,2.6
guerrero negro,MX,27.98,-114.06,65.642,90,0,3.77
deqing,CN,30.54,119.96,86.0,73,91,2.41
hasaki,JP,35.73,140.83,68.0,93,75,4.1
saint-augustin,CA,51.23,-58.65,56.04800000000003,67,63,1.75
hamilton,US,39.18,-84.53,71.00600000000003,94,1,0.59
sakakah,SA,29.97,40.21,100.95800000000001,8,0,1.07
kurchum,KZ,48.57,83.65,91.63399999999999,21,100,1.52
platanos,GR,37.67,21.62,80.6,74,20,2.1
stalybridge,GB,53.48,-2.06,62.99600000000005,71,74,0.45
taoudenni,ML,22.68,-3.98,99.266,23,3,1.72
alice springs,AU,-23.7,133.88,75.00200000000008,18,1,4.1
baruun-urt,MN,46.68,113.28,63.21200000000006,71,80,6.68
aksu,CN,41.12,80.26,93.63200000000002,19,24,1.9
katsuura,JP,35.13,140.3,69.99800000000002,94,75,4.1
tahoua,NE,14.89,5.27,77.0,83,75,6.2
kindu,CD,-2.95,25.95,79.592,46,79,2.34
tarrega,ES,41.65,1.14,66.99199999999999,73,12,1.34
yakima,US,46.47,-120.67,73.4,46,1,6.2
banda aceh,ID,5.56,95.32,86.234,70,93,3.08
gamba,GA,-2.65,10.0,75.34400000000008,79,60,1.36
bethel,US,41.37,-73.41,64.99400000000009,77,90,1.5
orlik,RU,52.52,99.83,60.026000000000096,56,59,2.23
carnarvon,AU,-24.87,113.63,68.0,64,75,8.2
lompoc,US,34.64,-120.46,55.400000000000006,87,0,0.67
sanary-sur-mer,FR,43.12,5.8,78.80000000000001,50,0,5.1
bilibino,RU,68.05,166.44,58.820000000000064,65,77,2.2
marathon,US,44.9,-89.77,66.00200000000008,88,75,2.1
chokurdakh,RU,70.63,147.92,53.11400000000003,54,99,2.4
srednekolymsk,RU,67.45,153.68,46.13000000000004,90,100,3.18
sitka,US,57.05,-135.33,55.400000000000006,87,90,1.5
gubkinskiy,RU,64.43,76.5,64.83200000000002,47,22,2.52
richards bay,ZA,-28.78,32.04,64.5260000000001,31,0,1.39
russell,US,32.35,-85.2,77.0,94,1,2.1
provideniya,RU,64.38,-173.3,55.45400000000005,74,42,1.98
adrar,MR,20.5,-10.07,88.46600000000001,22,26,3.83
sinnamary,GF,5.38,-52.95,76.24400000000009,89,83,3.45
tiksi,RU,71.69,128.87,41.75600000000003,77,100,10.1
longyearbyen,SJ,78.22,15.64,46.4,81,75,1.0
malatya,TR,38.5,38.0,89.6,25,20,2.6
padang,ID,-0.95,100.35,81.01400000000004,77,50,2.96
zhangjiakou,CN,40.81,114.88,66.16400000000004,88,100,3.81
ponta do sol,PT,32.67,-17.1,68.0,82,20,2.1
komsomolskiy,UZ,40.43,71.72,87.80000000000001,29,100,4.1
bobo dioulasso,BF,11.18,-4.3,73.4,94,20,1.0
berlevag,NO,70.86,29.09,55.400000000000006,82,88,4.6
san juan,AR,-31.54,-68.54,45.71600000000001,57,0,1.56
kawalu,ID,-7.38,108.21,86.32400000000001,54,16,1.89
peniche,PT,39.36,-9.38,71.00600000000003,84,0,0.71
gravdal,NO,68.12,13.5,55.400000000000006,93,75,4.6
acajutla,SV,13.59,-89.83,71.99600000000005,91,82,3.25
kaeo,NZ,-35.1,173.78,59.12600000000009,89,99,2.33
kruisfontein,ZA,-34.0,24.73,61.23200000000001,31,0,4.17
tabou,CI,4.42,-7.35,74.66000000000008,80,69,2.25
hofn,IS,64.25,-15.21,53.52800000000006,70,51,4.54
pochutla,MX,15.74,-96.47,75.32600000000009,64,58,1.59
kennett,US,36.24,-90.06,77.0,100,75,2.1
san patricio,MX,19.22,-104.7,79.05200000000008,88,66,1.73
marihatag,PH,8.79,126.3,85.51400000000004,70,88,4.47
ornskoldsvik,SE,63.29,18.72,64.4,77,75,2.6
sahuaripa,MX,29.05,-109.23,72.96800000000009,79,100,1.2
lebu,CL,-37.62,-73.65,52.934,96,100,9.76
saint-pierre,RE,-21.34,55.48,66.2,93,95,7.7
jaru,BR,-10.44,-62.47,67.76600000000002,58,0,0.66
abu zabad,SD,12.35,29.25,80.61800000000008,64,98,6.01
temir,KZ,49.14,57.13,97.28600000000007,14,0,1.06
shieli,KZ,44.17,66.75,104.41400000000003,10,0,3.73
bacsalmas,HU,46.13,19.33,59.93600000000007,81,100,5.14
cockburn town,TC,21.46,-71.14,82.45400000000006,79,4,7.64
adigeni,GE,41.68,42.7,82.4,69,40,7.2
kerema,PG,-7.96,145.78,78.0260000000001,86,100,5.54
hithadhoo,MV,-0.6,73.08,84.542,72,100,4.65
esperance,AU,-33.87,121.9,55.400000000000006,76,75,9.3
darya khan,PK,31.79,71.1,105.89000000000003,28,0,3.05
dingle,PH,11.0,122.67,88.30400000000006,64,42,2.45
rudnyy,KZ,52.96,63.12,89.6,22,0,4.0
leningradskiy,RU,69.38,178.42,43.19600000000005,81,33,6.05
san policarpo,PH,12.18,125.51,86.52200000000005,66,87,3.8
coihaique,CL,-45.58,-72.07,32.0,85,90,0.49
itatskiy,RU,56.07,89.04,73.14800000000002,47,1,4.25
vardo,NO,70.37,31.11,55.400000000000006,82,100,0.5
axim,GH,4.87,-2.24,76.316,83,83,2.89
qasigiannguit,GL,68.82,-51.19,46.4,70,100,0.5
mangan,IN,27.52,88.53,85.06400000000004,51,100,2.17
wewak,PG,-3.55,143.63,82.76000000000008,72,10,2.53
hambantota,LK,6.12,81.12,91.4,59,75,6.7
biak,ID,-0.91,122.88,80.58200000000002,77,43,1.87
gloucester,GB,51.87,-2.24,64.00400000000005,84,8,0.45
montbeliard,FR,47.52,6.8,60.8,82,90,2.1
murray bridge,AU,-35.12,139.27,60.998000000000026,51,48,2.43
thyboron,DK,56.7,8.21,64.00400000000005,83,100,5.28
lingdong,CN,46.57,131.15,88.08800000000005,53,14,2.66
dunmore town,BS,25.5,-76.65,83.40800000000002,78,76,7.91
broken hill,AU,-31.95,141.43,62.6,33,0,2.1
molagavita,CO,6.67,-72.81,54.41000000000008,83,13,1.59
zastron,ZA,-30.3,27.08,51.51200000000006,32,0,0.47
grand-santi,GF,4.25,-54.38,70.23200000000003,97,86,0.61
nantucket,US,41.28,-70.1,55.400000000000006,93,1,3.1
sungai padi,TH,6.09,101.88,91.4,55,40,4.1
yellowknife,CA,62.46,-114.35,59.0,87,75,1.5
tazovskiy,RU,67.47,78.7,55.022000000000034,63,0,6.74
marsa matruh,EG,31.35,27.25,78.80000000000001,69,40,5.7
atar,MR,20.52,-13.05,83.37200000000004,44,0,1.1
san pedro,PH,14.35,121.02,93.99199999999999,57,90,3.13
buraydah,SA,26.33,43.98,104.82800000000007,7,1,2.94
teruel,ES,40.67,-0.67,73.00400000000005,73,58,2.28
kavaratti,IN,10.57,72.64,80.6,88,90,3.1
fort nelson,CA,58.81,-122.7,53.81600000000001,99,100,1.77
homer,US,59.64,-151.55,62.6,63,90,3.6
santa isabel do rio negro,BR,-0.41,-65.02,70.808,98,33,0.95
mount isa,AU,-20.73,139.5,78.80000000000001,12,62,2.6
rovaniemi,FI,66.5,25.72,66.2,55,88,3.6
te anau,NZ,-45.42,167.72,35.83399999999999,81,100,0.51
inuvik,CA,68.35,-133.72,53.6,76,20,2.6
shenjiamen,CN,29.96,122.3,75.74000000000002,93,100,4.94
lorengau,PG,-2.02,147.27,83.78600000000007,69,93,1.52
chiredzi,ZW,-21.05,31.67,60.81800000000008,66,97,2.69
biankouma,CI,7.74,-7.61,66.72200000000004,96,100,0.47
klaeng,TH,12.78,101.65,88.28600000000007,60,17,3.67
iqaluit,CA,63.75,-68.51,44.6,87,75,3.1
baykit,RU,61.67,96.37,62.72600000000009,45,69,7.27
kushima,JP,31.46,131.23,80.6,78,20,2.1
contamana,PE,-7.33,-75.02,69.89000000000001,94,8,0.05
fairbanks,US,64.84,-147.72,62.6,67,75,2.1
tavda,RU,58.04,65.27,89.29400000000007,40,1,3.95
killybegs,IE,54.63,-8.45,55.400000000000006,93,75,1.5
sao pedro da aldeia,BR,-22.84,-42.1,63.95,83,0,5.75
nuevitas,CU,21.55,-77.26,77.0,100,90,4.6
kashirskoye,RU,51.42,39.61,73.4,40,85,3.0
meybod,IR,32.25,54.02,94.55000000000001,20,2,4.76
ancud,CL,-41.87,-73.82,48.2,100,90,7.2
tateyama,JP,34.98,139.87,71.00600000000003,100,75,5.1
maniitsoq,GL,65.42,-52.9,47.01200000000006,77,1,1.5
lahat,ID,-3.8,103.53,84.68600000000006,72,58,1.6
digha,IN,21.68,87.55,87.80000000000001,73,100,6.88
qeshm,IR,26.96,56.27,98.60000000000001,63,20,3.1
tuxpan,MX,19.55,-103.4,66.97400000000002,86,100,0.95
aklavik,CA,68.22,-135.01,53.6,76,20,2.6
purpe,RU,64.48,76.69,64.99400000000009,56,34,2.94
zhigansk,RU,66.77,123.37,62.18600000000007,57,100,2.08
luanda,AO,-8.84,13.23,73.4,83,75,1.0
general roca,AR,-39.03,-67.58,46.4,75,75,5.7
lae,PG,-6.72,146.98,81.14000000000001,73,63,2.56
banyuwangi,ID,-8.23,114.36,82.958,64,23,1.87
skelleftea,SE,64.75,20.95,69.80000000000001,60,100,2.6
tual,ID,-5.67,132.75,79.43000000000004,83,1,6.33
yoichi,JP,43.2,140.77,78.00800000000001,61,20,4.6
cabras,IT,39.93,8.53,75.29000000000002,60,1,3.05
selma,US,36.57,-119.61,82.4,50,1,4.37
santa cruz,BO,-17.8,-63.17,71.6,94,40,1.5
la rioja,ES,42.25,-2.5,64.4,63,20,5.7
kahului,US,20.89,-156.47,80.6,69,20,4.1
emerald,AU,-23.53,148.17,68.0,20,0,4.1
leshukonskoye,RU,64.9,45.76,69.78200000000001,53,16,2.34
mackay,AU,-21.15,149.2,64.4,52,0,5.1
upata,VE,8.01,-62.4,70.62800000000007,96,97,2.2
flinders,AU,-34.58,150.86,57.00200000000008,75,67,3.13
synya,RU,65.37,58.04,71.15,56,98,1.26
dolores,AR,-36.31,-57.68,41.32400000000001,86,21,2.35
hirado,JP,33.36,129.55,84.2,66,40,3.6
grand gaube,MU,-20.01,57.66,75.2,73,75,6.2
lalmohan,BD,22.34,90.74,87.85400000000006,70,22,6.7
pangnirtung,CA,66.15,-65.71,57.21800000000009,40,58,0.35
sola,VU,-13.88,167.55,80.88800000000005,80,53,3.9
christiana,ZA,-27.91,25.16,53.06000000000009,31,0,2.07
solnechnyy,RU,50.72,136.63,75.12800000000007,84,100,1.62
tarbagatay,RU,51.48,107.36,71.6,30,40,3.0
agropoli,IT,40.35,15.0,78.80000000000001,61,8,2.34
concordia,AR,-31.39,-58.02,44.00600000000003,94,62,1.34
hirara,JP,24.8,125.28,78.80000000000001,100,75,5.1
san antonio,US,29.42,-98.49,80.6,78,1,2.1
goure,NE,13.98,10.27,85.26200000000006,54,2,5.15
kutum,SD,14.2,24.67,81.51800000000009,49,79,4.94
necochea,AR,-38.55,-58.74,44.51000000000008,75,84,3.27
iwanai,JP,42.97,140.51,71.18600000000006,71,17,1.03
keti bandar,PK,24.14,67.45,95.01800000000009,54,50,2.88
broome,US,42.25,-75.83,66.99199999999999,93,90,4.1
merauke,ID,-8.47,140.33,78.31400000000004,79,55,8.15
laguna,US,38.42,-121.42,66.2,72,1,5.1
north bend,US,43.41,-124.22,57.992,100,90,3.1
havelock,US,34.88,-76.9,78.80000000000001,87,1,0.56
santo antonio do ica,BR,-3.1,-67.94,71.49199999999999,85,12,0.26
bulgan,MN,48.81,103.53,65.37200000000004,49,100,2.26
sayansk,RU,54.11,102.16,66.38000000000005,64,55,3.06
wahpeton,US,46.27,-96.61,66.00200000000008,82,1,2.6
soc trang,VN,9.6,105.98,91.4,66,40,1.0
tessalit,ML,20.2,1.01,92.01200000000006,27,0,2.34
grindavik,IS,63.84,-22.43,44.6,75,75,14.9
ajaccio,FR,42.0,8.92,75.2,64,0,2.1
aguada de pasajeros,CU,22.39,-80.85,77.0,94,10,3.1
abu samrah,SY,35.3,37.18,90.57200000000003,22,0,4.84
victoria,HK,22.29,114.16,91.99400000000009,64,36,5.36
banjarmasin,ID,-3.32,114.59,87.80000000000001,70,75,4.1
burnie,AU,-41.07,145.92,45.62600000000009,78,0,0.78
san juan del sur,NI,11.25,-85.87,79.28600000000007,80,2,7.74
henties bay,NA,-22.12,14.28,72.64400000000008,26,0,13.95
bandiagara,ML,14.35,-3.61,78.85400000000006,74,87,3.84
olginskaya,RU,47.19,39.95,64.99400000000009,93,40,5.0
inhambane,MZ,-23.86,35.38,64.4,82,40,4.1
kardla,EE,59.0,22.75,68.0,72,0,3.1
bubaque,GW,11.28,-15.83,76.60400000000006,93,100,5.04
hovd,MN,48.01,91.64,73.45400000000006,30,0,4.22
vanimo,PG,-2.67,141.3,83.12000000000006,71,72,1.84
poyarkovo,RU,49.6,128.68,87.62000000000006,58,58,2.05
winnemucca,US,40.97,-117.74,73.4,18,1,3.6
sisimiut,GL,66.94,-53.67,49.44199999999999,73,6,1.63
hualmay,PE,-11.1,-77.61,58.11800000000009,85,35,2.15
havre-saint-pierre,CA,50.23,-63.6,55.400000000000006,76,90,1.5
thunder bay,CA,48.4,-89.32,55.400000000000006,100,20,2.1
malakal,SS,9.53,31.66,72.51800000000009,92,100,2.44
koraput,IN,18.82,82.72,82.36400000000003,65,60,5.03
mashpee,US,41.65,-70.48,62.99600000000005,93,1,3.1
muli,MV,2.92,73.57,84.21800000000009,69,87,1.73
mortka,RU,59.33,66.02,92.49800000000002,36,0,3.91
floro,NO,61.6,5.03,57.2,93,75,9.8
lloydminster,CA,53.28,-110.0,57.2,93,90,3.6
zyryanka,RU,65.75,150.85,60.00800000000001,44,48,1.74
esteli,NI,13.09,-86.35,65.084,94,23,2.41
mount gambier,AU,-37.83,140.77,55.400000000000006,71,14,4.6
nioro,GM,13.35,-15.75,77.88200000000002,85,92,1.31
basco,PH,20.45,121.97,85.47800000000007,77,100,4.08
port augusta,AU,-32.5,137.77,68.0,28,0,6.2
lagos,NG,6.58,3.75,75.2,94,20,2.6
eldorado,BR,-23.79,-54.28,63.82400000000001,79,99,2.27
isangel,VU,-19.55,169.27,72.91400000000004,81,98,3.57
tihuatlan,MX,20.72,-97.53,73.61600000000001,96,17,0.76
hobyo,SO,5.35,48.53,84.21800000000009,54,100,10.6
naze,JP,28.37,129.48,82.4,88,75,8.7
kabompo,ZM,-13.59,24.2,60.63800000000005,43,0,6.3
yinchuan,CN,38.47,106.27,84.57800000000006,31,78,0.54
mehamn,NO,71.04,27.85,59.0,72,51,0.5
madera,US,37.17,-119.83,71.99600000000005,64,1,3.6
kimparana,ML,12.83,-4.92,74.984,82,85,3.68
skibbereen,IE,51.55,-9.27,59.0,100,75,5.7
griffith,US,41.53,-87.42,68.0,100,40,1.68
tallahassee,US,30.44,-84.28,78.80000000000001,83,1,2.6
andenes,NO,69.31,16.12,60.8,77,75,5.1
talnakh,RU,69.49,88.4,53.6,71,75,8.0
linqing,CN,36.85,115.71,87.20600000000003,46,72,6.41
belyy yar,RU,53.6,91.39,78.80000000000001,57,51,1.0
tsumeb,NA,-19.23,17.72,55.72400000000002,39,0,11.24
porbandar,IN,21.64,69.61,90.86000000000008,65,30,3.28
yumen,CN,40.28,97.2,70.53800000000004,41,92,10.38
lavrentiya,RU,65.58,-171.0,52.23200000000001,79,68,0.46
tadine,NC,-21.55,167.88,68.108,67,8,1.78
copiague,US,40.68,-73.4,71.99600000000005,68,90,3.6
lerum,SE,57.77,12.27,64.99400000000009,77,40,2.6
semporna,MY,4.48,118.61,87.80000000000001,70,20,4.1
portland,US,45.52,-122.68,66.2,68,1,3.1
puerto penasco,MX,31.32,-113.53,86.0,80,0,6.26
copala,MX,16.65,-98.98,80.61800000000008,71,99,1.23
saint-michel-des-saints,CA,46.68,-73.92,64.00400000000005,9,100,3.64
kavieng,PG,-2.57,150.8,83.73200000000003,71,3,2.85
changli,CN,39.7,119.15,86.95400000000006,50,98,7.2
nenjiang,CN,49.18,125.22,89.43800000000005,43,88,7.09
puerto escondido,MX,15.85,-97.07,78.72800000000007,76,36,2.11
oyama,JP,36.3,139.8,73.00400000000005,88,75,3.1
matagami,CA,49.75,-77.63,60.8,93,1,2.6
les cayes,HT,18.2,-73.75,78.62000000000006,81,13,2.58
labuan,MY,5.28,115.24,89.6,75,20,2.6
yerbogachen,RU,61.28,108.01,56.354000000000056,84,100,4.66
smidovich,RU,48.6,133.82,84.16400000000004,79,65,4.23
terrace,CA,54.52,-128.6,51.40400000000005,83,81,0.87
copiapo,CL,-27.37,-70.33,46.4,93,90,0.5
baiyin,CN,36.56,104.21,80.6,34,40,3.0
pacific grove,US,36.62,-121.92,59.0,87,90,0.45
shingu,JP,33.73,135.98,73.4,100,75,1.0
sobolevo,RU,54.43,31.9,65.858,71,22,2.75
moorhead,US,46.87,-96.77,66.2,77,1,1.5
